id;organization_id;plan_code;status;started_at;expires_at;created_by;created_at;updated_at
1;24791;FREE;EXPIRED;2026-06-13T03:16:02;2026-06-12T14:50:09;hungry;2026-06-13T02:15:27;2026-06-12T23:42:20
2;13825;PRO;EXPIRED;2026-06-13T00:54:49;2026-06-13T05:59:38;gosh why babushka;2026-06-13T06:09:16;2026-06-13T09:49:06
3;3001;ENTERPRISE;EXPIRED;2026-06-13T07:47:32;2026-06-12T20:41:39;blah supportive athwart;2026-06-12T20:31:03;2026-06-13T12:41:59
4;31699;ENTERPRISE;EXPIRED;2026-06-13T05:00:46;2026-06-13T10:12:05;below outside;2026-06-12T23:39:02;2026-06-13T05:23:46
5;22917;PRO;CANCELLED;2026-06-12T16:59:03;2026-06-13T04:38:30;wonderfully;2026-06-12T15:34:17;2026-06-13T00:53:46
6;5317;PRO;ACTIVE;2026-06-13T02:00:19;2026-06-13T00:22:28;internalise;2026-06-13T08:34:19;2026-06-12T13:33:46
7;13376;ENTERPRISE;ACTIVE;2026-06-13T02:47:02;2026-06-12T16:16:58;though mmm nifty;2026-06-12T16:17:30;2026-06-13T05:40:33
8;7712;FREE;CANCELLED;2026-06-12T16:07:24;2026-06-12T17:03:20;enfold abaft what;2026-06-12T15:49:57;2026-06-12T16:52:13
9;29094;PRO;ACTIVE;2026-06-12T15:33:31;2026-06-12T15:53:26;internal yowza;2026-06-12T18:46:23;2026-06-13T05:51:08
10;10154;FREE;ACTIVE;2026-06-13T11:46:18;2026-06-12T18:47:04;however;2026-06-12T14:55:43;2026-06-12T21:02:31
11;27972;PRO;ACTIVE;2026-06-13T11:37:00;2026-06-12T16:01:50;version ugh regulate;2026-06-12T18:53:14;2026-06-13T08:37:17
12;21200;PRO;EXPIRED;2026-06-12T19:18:10;2026-06-13T12:21:27;highly bakeware buzzing;2026-06-13T06:40:27;2026-06-12T19:02:43
13;7766;FREE;EXPIRED;2026-06-13T07:08:07;2026-06-12T20:02:54;till electrify flawed;2026-06-13T01:30:29;2026-06-13T02:14:22
14;19184;ENTERPRISE;EXPIRED;2026-06-12T22:37:23;2026-06-12T16:48:35;culminate who honesty;2026-06-12T14:13:53;2026-06-13T08:40:21
15;10914;ENTERPRISE;ACTIVE;2026-06-12T20:45:44;2026-06-12T16:49:08;sleepily gosh clearly;2026-06-12T13:20:16;2026-06-13T12:02:55
16;969;ENTERPRISE;ACTIVE;2026-06-13T07:04:32;2026-06-12T21:56:07;boo;2026-06-12T21:34:55;2026-06-12T19:12:31
17;29293;FREE;EXPIRED;2026-06-12T22:21:41;2026-06-12T19:35:25;for swelter;2026-06-13T05:47:51;2026-06-13T06:45:20
18;835;ENTERPRISE;CANCELLED;2026-06-13T10:09:51;2026-06-12T15:07:30;asset politely brr;2026-06-13T10:38:56;2026-06-13T04:10:27
19;23899;PRO;EXPIRED;2026-06-13T00:42:03;2026-06-13T09:06:50;appropriate tidy;2026-06-13T11:57:59;2026-06-13T00:29:56
20;31428;PRO;CANCELLED;2026-06-12T15:57:18;2026-06-12T22:40:30;rapidly solidly;2026-06-13T03:48:44;2026-06-13T08:10:52
21;23581;ENTERPRISE;ACTIVE;2026-06-12T16:20:20;2026-06-13T08:50:05;legitimize bruised whoa;2026-06-13T10:00:19;2026-06-12T15:59:06
22;32090;ENTERPRISE;ACTIVE;2026-06-13T08:53:13;2026-06-12T18:59:23;oof;2026-06-13T03:46:09;2026-06-12T14:25:45
23;27773;PRO;EXPIRED;2026-06-12T23:23:33;2026-06-12T22:56:15;fine;2026-06-13T11:44:34;2026-06-12T14:01:04
24;20680;ENTERPRISE;ACTIVE;2026-06-12T18:21:57;2026-06-12T23:41:56;cross but;2026-06-13T04:10:33;2026-06-12T18:11:47
25;16751;FREE;CANCELLED;2026-06-12T14:19:05;2026-06-13T07:02:40;allocation;2026-06-13T05:22:29;2026-06-13T02:59:46
26;19081;PRO;CANCELLED;2026-06-12T14:08:36;2026-06-13T02:21:08;aha;2026-06-12T15:29:43;2026-06-12T13:15:12
27;23276;ENTERPRISE;CANCELLED;2026-06-13T11:14:23;2026-06-13T11:19:09;underneath effector defenseless;2026-06-13T11:27:54;2026-06-12T20:15:48
28;30442;ENTERPRISE;EXPIRED;2026-06-13T04:45:30;2026-06-13T01:30:16;baptise;2026-06-12T21:25:23;2026-06-13T10:09:12
29;948;ENTERPRISE;ACTIVE;2026-06-12T21:10:23;2026-06-12T17:06:51;suitcase brochure sparkling;2026-06-12T23:58:29;2026-06-12T16:16:07
30;20779;FREE;CANCELLED;2026-06-12T15:54:53;2026-06-13T04:29:56;noted joyfully disconnection;2026-06-12T19:38:13;2026-06-12T19:31:44
