id;organization_id;title;description;status;priority;due_date;assigned_user_login;created_by;created_at;updated_at;project_id
1;26403;yum eek;../fake-data/blob/hipster.txt;BLOCKED;MEDIUM;2026-06-09;mockingly;flimsy;2026-06-08T22:43:21;2026-06-08T17:37:28;1
2;11555;acidly whereas along;../fake-data/blob/hipster.txt;TODO;LOW;2026-06-09;politely;graduate editor;2026-06-09T11:42:40;2026-06-09T16:05:36;2
3;27884;that now;../fake-data/blob/hipster.txt;DONE;LOW;2026-06-09;soft vein;above whereas;2026-06-08T22:09:30;2026-06-09T06:57:09;3
4;26293;train premeditation especially;../fake-data/blob/hipster.txt;BLOCKED;MEDIUM;2026-06-08;who creak save;extra-large circa;2026-06-09T14:27:58;2026-06-09T07:52:48;4
5;24718;catch supposing who;../fake-data/blob/hipster.txt;DONE;HIGH;2026-06-09;large silently reboot;beyond;2026-06-09T13:19:20;2026-06-09T14:43:51;5
6;7301;regulate lavish furthermore;../fake-data/blob/hipster.txt;TODO;LOW;2026-06-09;rekindle fiercely form;save eulogise;2026-06-09T14:11:12;2026-06-09T07:09:36;6
7;4265;phew outfox;../fake-data/blob/hipster.txt;BLOCKED;HIGH;2026-06-09;whenever round by;since;2026-06-08T18:50:45;2026-06-09T11:51:33;7
8;19686;ack individual considering;../fake-data/blob/hipster.txt;TODO;HIGH;2026-06-09;electronics afraid;misfire daily;2026-06-09T05:18:07;2026-06-08T20:04:58;8
9;10384;splurge;../fake-data/blob/hipster.txt;IN_PROGRESS;LOW;2026-06-09;cricket without;boo aha;2026-06-09T01:46:53;2026-06-09T03:28:05;9
10;18503;eke fooey;../fake-data/blob/hipster.txt;IN_PROGRESS;MEDIUM;2026-06-09;charter essay once;thyme yuck;2026-06-08T20:24:36;2026-06-08T17:27:33;10
11;6473;hm which immense;../fake-data/blob/hipster.txt;TODO;URGENT;2026-06-09;lounge advocate confiscate;without hourly summarise;2026-06-08T18:43:54;2026-06-09T09:49:49;11
12;21262;legend casement;../fake-data/blob/hipster.txt;IN_PROGRESS;LOW;2026-06-08;aw for for;astride heavy;2026-06-09T10:55:33;2026-06-08T17:30:10;12
13;30238;reasoning yieldingly;../fake-data/blob/hipster.txt;BLOCKED;LOW;2026-06-08;gee rationale;zany yowza doubtfully;2026-06-09T15:15:23;2026-06-09T10:09:59;13
14;17920;victoriously substantiate who;../fake-data/blob/hipster.txt;BLOCKED;MEDIUM;2026-06-09;cantaloupe brochure;huzzah however;2026-06-08T19:49:54;2026-06-08T22:19:08;14
15;15883;terribly;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2026-06-08;blah plus often;onto sans progress;2026-06-08T23:13:49;2026-06-09T00:50:42;15
16;23832;demonstrate stigmatize;../fake-data/blob/hipster.txt;BLOCKED;MEDIUM;2026-06-09;suburban unit afore;gracefully;2026-06-09T11:22:33;2026-06-09T04:44:15;16
17;18973;memorise phew;../fake-data/blob/hipster.txt;DONE;HIGH;2026-06-08;before calmly gigantic;furthermore obedience knowledgeably;2026-06-09T10:43:19;2026-06-09T08:21:35;17
18;19901;trek yuppify joy;../fake-data/blob/hipster.txt;BLOCKED;MEDIUM;2026-06-09;while abnormally angrily;beneath eek;2026-06-08T20:11:36;2026-06-09T10:10:21;18
19;28807;pish;../fake-data/blob/hipster.txt;TODO;MEDIUM;2026-06-09;settler scotch porter;versus;2026-06-08T18:28:40;2026-06-09T08:13:18;19
20;27481;than;../fake-data/blob/hipster.txt;TODO;URGENT;2026-06-09;ugh plumber certainly;a oof whereas;2026-06-09T12:18:50;2026-06-09T07:05:25;20
21;13401;basket;../fake-data/blob/hipster.txt;BLOCKED;URGENT;2026-06-09;tarragon;cemetery indelible instead;2026-06-09T13:29:51;2026-06-09T00:59:04;21
22;4979;sharply extent;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2026-06-09;sin;valiantly;2026-06-08T20:45:58;2026-06-08T17:23:48;22
23;22677;valuable;../fake-data/blob/hipster.txt;TODO;MEDIUM;2026-06-09;atop;er cheetah;2026-06-08T20:44:06;2026-06-08T23:15:47;23
24;2930;phooey neat milestone;../fake-data/blob/hipster.txt;DONE;MEDIUM;2026-06-09;tiny;pessimistic broadcast;2026-06-09T15:11:44;2026-06-08T21:03:12;24
25;15424;hungrily;../fake-data/blob/hipster.txt;DONE;HIGH;2026-06-09;sun crank;humiliating unlearn once;2026-06-08T23:13:13;2026-06-09T06:59:54;25
26;27689;eyeliner;../fake-data/blob/hipster.txt;BLOCKED;LOW;2026-06-08;wasteful;millet overcooked mooch;2026-06-09T10:42:42;2026-06-09T15:18:48;26
27;13792;down shrilly yowza;../fake-data/blob/hipster.txt;BLOCKED;URGENT;2026-06-09;wordy;underneath gloomy mostly;2026-06-09T00:04:04;2026-06-09T03:07:43;27
28;11289;nor muted;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2026-06-09;atop hovel naturally;boastfully with gosh;2026-06-08T22:22:01;2026-06-09T09:58:37;28
29;30917;madly ouch as;../fake-data/blob/hipster.txt;IN_PROGRESS;HIGH;2026-06-08;restfully propound;squeaky which;2026-06-09T04:14:40;2026-06-09T16:30:27;29
30;15526;hmph tromp gee;../fake-data/blob/hipster.txt;IN_PROGRESS;MEDIUM;2026-06-09;lively bend;submitter;2026-06-09T05:05:51;2026-06-09T07:23:18;30
